2024-05-08 15:07:32,361 DEBUG   HandlerThread:72834 [system_monitor.py:probe():223] {'os': 'Linux-4.19.0-25-amd64-x86_64-with-glibc2.28', 'python': '3.11.4', 'heartbeatAt': '2024-05-08T19:07:32.211284', 'startedAt': '2024-05-08T19:07:31.192702', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '<python with no main file>', 'codePathLocal': None, 'host': 'researchgpu05', 'username': 'as6154', 'executable': '/user/as6154/.conda/envs/pytorch/bin/python', 'cpu_count': 64, 'cpu_count_logical': 128, 'cpu_freq': {'current': 2.937507812499999, 'min': 1500.0, 'max': 2600.0}, 'cpu_freq_per_core': [{'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.867, 'min': 1500.0, 'max': 2600.0}, {'current': 3.523, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.811, 'min': 1500.0, 'max': 2600.0}, {'current': 2.813, 'min': 1500.0, 'max': 2600.0}, {'current': 3.512, 'min': 1500.0, 'max': 2600.0}, {'current': 2.818, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.823, 'min': 1500.0, 'max': 2600.0}, {'current': 3.523, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.82, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.818, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.815, 'min': 1500.0, 'max': 2600.0}, {'current': 2.847, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.821, 'min': 1500.0, 'max': 2600.0}, {'current': 2.816, 'min': 1500.0, 'max': 2600.0}, {'current': 3.575, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.818, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 3.503, 'min': 1500.0, 'max': 2600.0}, {'current': 2.817, 'min': 1500.0, 'max': 2600.0}, {'current': 2.815, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.881, 'min': 1500.0, 'max': 2600.0}, {'current': 2.919, 'min': 1500.0, 'max': 2600.0}, {'current': 2.912, 'min': 1500.0, 'max': 2600.0}, {'current': 2.913, 'min': 1500.0, 'max': 2600.0}, {'current': 3.618, 'min': 1500.0, 'max': 2600.0}, {'current': 2.874, 'min': 1500.0, 'max': 2600.0}, {'current': 2.875, 'min': 1500.0, 'max': 2600.0}, {'current': 2.877, 'min': 1500.0, 'max': 2600.0}, {'current': 2.875, 'min': 1500.0, 'max': 2600.0}, {'current': 2.822, 'min': 1500.0, 'max': 2600.0}, {'current': 3.459, 'min': 1500.0, 'max': 2600.0}, {'current': 2.816, 'min': 1500.0, 'max': 2600.0}, {'current': 2.899, 'min': 1500.0, 'max': 2600.0}, {'current': 2.906, 'min': 1500.0, 'max': 2600.0}, {'current': 2.817, 'min': 1500.0, 'max': 2600.0}, {'current': 3.619, 'min': 1500.0, 'max': 2600.0}, {'current': 2.791, 'min': 1500.0, 'max': 2600.0}, {'current': 3.619, 'min': 1500.0, 'max': 2600.0}, {'current': 2.818, 'min': 1500.0, 'max': 2600.0}, {'current': 2.895, 'min': 1500.0, 'max': 2600.0}, {'current': 2.901, 'min': 1500.0, 'max': 2600.0}, {'current': 3.619, 'min': 1500.0, 'max': 2600.0}, {'current': 2.912, 'min': 1500.0, 'max': 2600.0}, {'current': 2.906, 'min': 1500.0, 'max': 2600.0}, {'current': 2.818, 'min': 1500.0, 'max': 2600.0}, {'current': 2.814, 'min': 1500.0, 'max': 2600.0}, {'current': 2.908, 'min': 1500.0, 'max': 2600.0}, {'current': 2.813, 'min': 1500.0, 'max': 2600.0}, {'current': 2.814, 'min': 1500.0, 'max': 2600.0}, {'current': 2.903, 'min': 1500.0, 'max': 2600.0}, {'current': 2.813, 'min': 1500.0, 'max': 2600.0}, {'current': 2.816, 'min': 1500.0, 'max': 2600.0}, {'current': 3.685, 'min': 1500.0, 'max': 2600.0}, {'current': 2.815, 'min': 1500.0, 'max': 2600.0}, {'current': 3.182, 'min': 1500.0, 'max': 2600.0}, {'current': 3.512, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.816, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 3.523, 'min': 1500.0, 'max': 2600.0}, {'current': 2.812, 'min': 1500.0, 'max': 2600.0}, {'current': 2.818, 'min': 1500.0, 'max': 2600.0}, {'current': 2.849, 'min': 1500.0, 'max': 2600.0}, {'current': 2.811, 'min': 1500.0, 'max': 2600.0}, {'current': 3.513, 'min': 1500.0, 'max': 2600.0}, {'current': 2.815, 'min': 1500.0, 'max': 2600.0}, {'current': 2.817, 'min': 1500.0, 'max': 2600.0}, {'current': 2.818, 'min': 1500.0, 'max': 2600.0}, {'current': 2.812, 'min': 1500.0, 'max': 2600.0}, {'current': 2.815, 'min': 1500.0, 'max': 2600.0}, {'current': 2.817, 'min': 1500.0, 'max': 2600.0}, {'current': 2.81, 'min': 1500.0, 'max': 2600.0}, {'current': 2.818, 'min': 1500.0, 'max': 2600.0}, {'current': 2.818, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 3.522, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.82, 'min': 1500.0, 'max': 2600.0}, {'current': 2.82, 'min': 1500.0, 'max': 2600.0}, {'current': 3.523, 'min': 1500.0, 'max': 2600.0}, {'current': 2.815, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 3.082, 'min': 1500.0, 'max': 2600.0}, {'current': 2.816, 'min': 1500.0, 'max': 2600.0}, {'current': 2.815, 'min': 1500.0, 'max': 2600.0}, {'current': 3.67, 'min': 1500.0, 'max': 2600.0}, {'current': 2.818, 'min': 1500.0, 'max': 2600.0}, {'current': 3.522, 'min': 1500.0, 'max': 2600.0}, {'current': 2.816, 'min': 1500.0, 'max': 2600.0}, {'current': 2.818, 'min': 1500.0, 'max': 2600.0}, {'current': 2.865, 'min': 1500.0, 'max': 2600.0}, {'current': 3.075, 'min': 1500.0, 'max': 2600.0}, {'current': 2.906, 'min': 1500.0, 'max': 2600.0}, {'current': 2.82, 'min': 1500.0, 'max': 2600.0}, {'current': 2.819, 'min': 1500.0, 'max': 2600.0}, {'current': 2.87, 'min': 1500.0, 'max': 2600.0}, {'current': 3.665, 'min': 1500.0, 'max': 2600.0}, {'current': 2.855, 'min': 1500.0, 'max': 2600.0}, {'current': 3.654, 'min': 1500.0, 'max': 2600.0}, {'current': 2.811, 'min': 1500.0, 'max': 2600.0}, {'current': 2.898, 'min': 1500.0, 'max': 2600.0}, {'current': 2.818, 'min': 1500.0, 'max': 2600.0}, {'current': 3.687, 'min': 1500.0, 'max': 2600.0}, {'current': 2.815, 'min': 1500.0, 'max': 2600.0}, {'current': 2.898, 'min': 1500.0, 'max': 2600.0}, {'current': 2.82, 'min': 1500.0, 'max': 2600.0}, {'current': 2.814, 'min': 1500.0, 'max': 2600.0}, {'current': 2.812, 'min': 1500.0, 'max': 2600.0}, {'current': 2.815, 'min': 1500.0, 'max': 2600.0}, {'current': 2.814, 'min': 1500.0, 'max': 2600.0}, {'current': 2.816, 'min': 1500.0, 'max': 2600.0}, {'current': 2.815, 'min': 1500.0, 'max': 2600.0}, {'current': 2.817, 'min': 1500.0, 'max': 2600.0}, {'current': 3.619, 'min': 1500.0, 'max': 2600.0}], 'disk': {'/': {'total': 503.9082794189453, 'used': 0.142242431640625}}, 'gpu': 'NVIDIA A40', 'gpu_count': 8, 'gpu_devices': [{'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}], 'memory': {'total': 1007.8165588378906}}
2024-05-08 15:07:32,401 INFO    HandlerThread:72834 [system_monitor.py:probe():224] Finished collecting system info
2024-05-08 15:07:32,401 INFO    HandlerThread:72834 [system_monitor.py:probe():227] Publishing system info
2024-05-08 15:07:32,766 DEBUG   HandlerThread:72834 [system_info.py:_save_pip():52] Saving list of pip packages installed into the current environment
2024-05-08 15:07:33,666 INFO    Thread-12 :72834 [dir_watcher.py:_on_file_created():271] file/dir created: /user/as6154/dissert/wandb/run-20240508_150731-8ndjvkpx/files/requirements.txt
2024-05-08 15:07:33,706 DEBUG   HandlerThread:72834 [system_info.py:_save_pip():68] Saving pip packages done
2024-05-08 15:07:34,253 DEBUG   HandlerThread:72834 [system_info.py:_save_conda():75] Saving list of conda packages installed into the current environment
2024-05-08 15:07:34,667 INFO    Thread-12 :72834 [dir_watcher.py:_on_file_created():271] file/dir created: /user/as6154/dissert/wandb/run-20240508_150731-8ndjvkpx/files/conda-environment.yaml
2024-05-08 15:08:13,166 INFO    Thread-12 :72834 [dir_watcher.py:_on_file_modified():288] file/dir modified: /user/as6154/dissert/wandb/run-20240508_150731-8ndjvkpx/files/conda-environment.yaml
2024-05-08 15:08:13,249 DEBUG   HandlerThread:72834 [system_info.py:_save_conda():87] Saving conda packages done
